ปวดข้อกระดูก โรคเก๊าท์,โรคข้อเสื่อม,โรครูมาตอยด์ โรคข้ออักเสบจากการติดเชื้อ
ปวดกระดูก โรคข้อเสื่อม,โรคกระดูกพรุน
อาเจียน โรคมะเร็งลำไส้เล็ก,อาหารเป็นพิษ
อ่อนเพลีย โรคตับแข็ง,โรคสมองอักเสบ
เมื่อยล้า โรคตับแข็ง
ประจำเดือนผิดปกติ โรคตับแข็ง
ปวดท้องด้านบน โรคมะเร็งตับ
ท้องบวม โรคมะเร็งตับ
พูดไม่ชัด โรคโบทูลิซึม,โรคกล้ามเนื้ออ่อนแรง
ตาเบลอ โรคโบทูลิซึม
หนังตาตก โรคโบทูลิซึม
หัวใจเต้นเร็ว โรคไทรอยด์ 
เหนื่อยง่าย โรคไทรอยด์ 
ใจสั่น โรคไทรอยด์ 
หลับยาก โรคนอนไม่หลับ
หลับไม่ต่อเนื่อง โรคนอนไม่หลับ
อ่อนเพลีย โรคนอนไม่หลับ
จำไม่ค่อยได้ โรคอัลไซเมอร์
ลืมของบ่อย โรคอัลไซเมอร์
ทำกิจวัตรช้าลง โรคอัลไซเมอร์
มีไข้สูง โรคเยื่อหุ้มสมองอักเสบ
มึนงง โรคเยื่อหุ้มสมองอักเสบ
ง่วงซึม โรคเยื่อหุ้มสมองอักเสบ
มือสั่น โรคพาร์กินสัน 
แขนสั่น โรคพาร์กินสัน 
ขาสั่น โรคพาร์กินสัน 
พูดลำบาก โรคพาร์กินสัน,โรคอัมพฤกษ์
เคลื่อนไหวช้า โรคพาร์กินสัน 
หายใจลำบาก โรคกล้ามเนื้ออ่อนแรง
แขนขาอ่อนแรง โรดภาวะสมองขาดเลือด
พูดไม่ได้ โรดภาวะสมองขาดเลือด
เวียนหัว โรดภาวะสมองขาดเลือด,โรคเวียนศรีษะ,โรคฝีในสมอง 
น้ำลายไหลบ่อย โรคหน้าเบี้ยวครึ่งซีก,โรคหลอดเลือดสมอง
ไม่ค่อยได้ยิน โรคหน้าเบี้ยวครึ่งซีก
ปวดหลังหู โรคหน้าเบี้ยวครึ่งซีก
กล้ามเนื้อใบหน้าอ่อนแรง โรคหน้าเบี้ยวครึ่งซีก
ผื่นขึ้นเป็นเส้น โรคงูสวัด 
คั่นเนื้อคั่นตัว โรคงูสวัด 
ปากเบี้ยว โรคหลอดเลือดสมอง,โรคโรคอัมพฤกษ์
เสียการทรงตัว โรคหลอดเลือดสมอง
สายตาพล่ามั่ว โรคอัมพฤกษ์,โรคฝีในสมอง 
ปากเบี้ยว โรคอัมพฤกษ์
เห็นภาพหมุน โรคเวียนศรีษะ
เครียดมาก โรคประสาท 
วิตกกังวล โรคประสาท
หัวใจเต้นเร็ว โรคประสาท
ขี้กังวล โรคประสาท
มีเนื้องอกตามผิวหนัง โรคท้าวแสนปม
มีหนองไหลจากหู โรคฝีในสมอง
แขนขาชา โรคอัมพาต
อ่อนแรงครึ่งซีก โรคอัมพาต
พูดไม่ชัด โรคอัมพาต
ไม่ได้ยิน โรคอัมพาต
